kode_kec,nama,link_dapo,link_sekolah_kita,last_sync,akreditasi,kurikulum,npsn,status,bentuk_pendidikan,status_kepemilikan,sk_pendirian_sekolah,tanggal_sk_pendirian,sk_izin_operasional,tanggal_sk_izin_operasional,kebutuhan_khusus_dilayani,nama_bank,cabang_kcp/unit,rekening_atas_nama,status_bos,waku_penyelenggaraan,sertifikasi_iso,sumber_listrik,daya_listrik,akses_internet,alamat,rt_/_rw,dusun,desa_/_kelurahan,kecamatan,kabupaten,provinsi,kode_pos,lintang,bujur,rombel,guru_kelas,guru_matematika,guru_bahasa_indonesia,guru_bahasa_inggris,guru_sejarah_indonesia,guru_pkn,guru_penjaskes,guru_agama_budi_pekerti,guru_seni_budaya,ptk_laki,ptk_perempuan,pegawai_laki,pegawai_perempuan,pd_kelas_1_laki,pd_kelas_1_perempuan,pd_kelas_2_laki,pd_kelas_2_perempuan,pd_kelas_3_laki,pd_kelas_3_perempuan,pd_kelas_4_laki,pd_kelas_4_perempuan,pd_kelas_5_laki,pd_kelas_5_perempuan,pd_kelas_6_laki,pd_kelas_6_perempuan,pd_kelas_7_laki,pd_kelas_7_perempuan,pd_kelas_8_laki,pd_kelas_8_perempuan,pd_kelas_9_laki,pd_kelas_9_perempuan,pd_kelas_10_laki,pd_kelas_10_perempuan,pd_kelas_11_laki,pd_kelas_11_perempuan,pd_kelas_12_laki,pd_kelas_12_perempuan,pd_kelas_13_laki,pd_kelas_13_perempuan,jumlah_kirim,ptk,pegawai,pd,pd_laki,pd_perempuan,before_ruang_kelas,after_ruang_kelas,before_ruang_perpus,after_ruang_perpus,before_ruang_lab,after_ruang_lab,before_ruang_praktik,after_ruang_praktik,before_ruang_pimpinan,after_ruang_pimpinan,before_ruang_guru,after_ruang_guru,before_ruang_ibadah,after_ruang_ibadah,before_ruang_uks,after_ruang_uks,before_toilet,after_toilet,before_gudang,after_gudang,before_ruang_sirkulasi,after_ruang_sirkulasi,before_tempat_bermain_olahraga,after_tempat_bermain_olahraga,before_ruang_tu,after_ruang_tu,before_ruang_konseling,after_ruang_konseling,before_ruang_osis,after_ruang_osis,before_bangunan,after_bangunan,identitas_valid,ptk_valid,pd_valid,prasarana_valid,total_valid,sekolah_id,semester_id,sumber_air,sumber_air_minum,kecukupan_air_bersih,jamban_kk,tipe_jamban,jml_hari_cuci_tangan,jml_wastafel,jml_wastafel_rusak,air_mengalir_wastafel,memiliki_drainase,menguras_tangki_septik
021427,TK DHARMA WANITA,https://dapo.kemdikbud.go.id/sekolah/50759213E8193FBFA3F9,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/b68f090e-e527-4ae7-9c2b-4cec35835ead,13 Feb 2023 07:25:43,B,Kurikulum 2013,20262818,Swasta,TK,Yayasan,1,1986-07-14,421.1/942-Kpts/Disdikbud/2016,2006-02-17,Tidak ada,BPD JABAR BANTEN,KCP KAWALI,20262818 TK DHARMA WANITA,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,450,Tidak Ada,JLN CIAMIS CIREBON,4 / 5,Sadapaingan,Panawangan,Kec. Panawangan,Kab. Ciamis,Prov. Jawa Barat,46255,-7,108,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,21,10,11,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
021427,TK KARANGSARI,https://dapo.kemdikbud.go.id/sekolah/D7248E5F8B2B7D8CD3E3,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/b9604b7e-2c93-4a25-af73-c26ac987cec4,13 Feb 2023 09:56:26,C,Kurikulum 2013,20262954,Swasta,TK,Yayasan,12/Y/2003,2003-07-19,421.1/382-Kpts/Disdikbud/2015,2016-01-14,Tidak ada,BPD JABAR BANTEN,KCP KAWALI,20262954 TK KARANGSARI,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,450,Tidak Ada,DUSUN CIPEUTEUY DESA GIRILAYA,10 / 5,dusun cipeuteuy,GIRILAYA,Kec. Panawangan,Kab. Ciamis,Prov. Jawa Barat,46255,-7,108,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,17,9,8,2.0,2,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
021427,TK KIDANG KENCANA,https://dapo.kemdikbud.go.id/sekolah/403DF329FB63861EF129,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/a840e388-f9f1-4dd8-895c-99980dc8bc0b,15 Feb 2023 14:08:40,B,Kurikulum 2013,20262866,Swasta,TK,Yayasan,1,1988-06-24,421/ 186-Kpts/Disdikbud/2016,2016-01-14,Tidak ada,BPD JABAR BANTEN,KCP KAWALI,20262866 TK KIDANG KENCANA,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,450,Tidak Ada,DSN SUSURU,5 / 6,Susuru,KERTAJAYA,Kec. Panawangan,Kab. Ciamis,Prov. Jawa Barat,46255,-7,108,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,20,12,8,1.0,1,1.0,1,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
021427,TK MELATI I,https://dapo.kemdikbud.go.id/sekolah/8707BACFDC2A4D44F73E,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/01cc7cf1-00e6-494f-b22d-0ef6d1315213,21 Feb 2023 09:54:55,B,Kurikulum 2013,20262902,Swasta,TK,Yayasan,1,1982-06-12,421.1/ 187-Kpts/Disdikbud/2016,2016-01-14,Tidak ada,BPD JABAR BANTEN,KCP KAWALI,20262902 TK MELATI 1,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,450,Tidak Ada,JL ARIA SALINGSINGAN,3 / 3,KALIWON,Panawangan,Kec. Panawangan,Kab. Ciamis,Prov. Jawa Barat,46255,-7,108,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,27,13,14,2.0,2,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,2.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
021427,TK PERTIWI,https://dapo.kemdikbud.go.id/sekolah/1D199B27CAD8F0D90D53,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/2d3dfceb-5392-4305-8d3f-3a51904f0a50,10 Feb 2023 10:07:47,C,Kurikulum 2013,20262980,Swasta,TK,Yayasan,1,2006-09-11,421.1/384/Kpts/Disdikbud/2016,2016-01-14,Tidak ada,BPD JABAR BANTEN,KCP KAWALI,20262980 TK PERTIWI,Bersedia Menerima,Pagi,Belum Bersertifikat,,450,Tidak Ada,DESA KARANGPANINGAL,8 / 4,Cugantang,Karangpaningal,Kec. Panawangan,Kab. Ciamis,Prov. Jawa Barat,46255,-7,108,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,9,4,5,2.0,2,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
021427,TK PGRI GARDU JAYA,https://dapo.kemdikbud.go.id/sekolah/207165D2F9765328B971,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/24f678a8-74a1-4be8-b6a3-a21b22213a17,11 Feb 2023 09:27:02,B,Kurikulum 2013,20262825,Swasta,TK,Yayasan,1,1994-08-10,421.1/381/Kpts/Disdikbud/2016,2016-01-14,Tidak ada,BPD JABAR BANTEN,KCP KAWALI,20262825 TK PGRI GARDUJAYA,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,450,Tidak Ada,DUSUN GARDU RT 08 RW 04,8 / 4,GARDU,Gardujaya,Kec. Panawangan,Kab. Ciamis,Prov. Jawa Barat,46255,-7,108,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,17,10,7,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
021427,TK PGRI HARAPAN BUNDA,https://dapo.kemdikbud.go.id/sekolah/A9BDB6E95711CEFF6910,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/a4b457c2-46a8-4654-99bd-c2756c93bfd7,11 Feb 2023 08:08:38,B,Kurikulum 2013,20262831,Swasta,TK,Yayasan,17PPLP DasmenPGRI/Kpt/1.07,2002-11-19,421./195/-Kpts/Disdikbud/2016,2016-01-14,Tidak ada,BPD JABAR BANTEN,KCP KAWALI,20262831 TK PGRI HARAPAN BUNDA,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,450,Tidak Ada,JLN PANAWANGAN CIREBON,6 / 2,SALAM,Panawangan,Kec. Panawangan,Kab. Ciamis,Prov. Jawa Barat,46255,-7,108,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,13,3,10,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
021427,TK PGRI MEKARSARI,https://dapo.kemdikbud.go.id/sekolah/689DC61809A382909451,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/d445d1c0-bcb3-4c3f-8a35-c1d6e7055795,11 Feb 2023 10:31:27,C,Kurikulum 2013,20262887,Swasta,TK,Yayasan,1,1999-07-01,421.1/ 189 - Kpts/Disdikbud/2016,2016-01-14,Tidak ada,BPD JABAR BANTEN,KCP KAWALI,20262887 TK PGRI MEKARSARI,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,450,Tidak Ada,DSN SITUGEDE SAGALAHERANG,2 / 15,Situgede,Sagalaherang,Kec. Panawangan,Kab. Ciamis,Prov. Jawa Barat,46255,-7,108,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,34,15,19,2.0,2,0.0,0,0.0,0,0.0,0,1.0,1,1.0,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
021427,TK PGRI MUSTIKA ASIH,https://dapo.kemdikbud.go.id/sekolah/6386648F79EC37F39292,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/9a92c9d6-1cb3-4ad1-b29d-90d05d36cfe3,11 Feb 2023 22:22:15,B,Kurikulum 2013,20262915,Swasta,TK,Yayasan,1,1986-11-17,421.1 / 379 /Kpts/Disdikbud/2016,2016-01-14,Tidak ada,BPD JABAR BANTEN,KCP KAWALI,20262915 TKPGRI MUSTIKA ASIH,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,450,Tidak Ada,DESA INDRAGIRI,9 / 10,Cilimus,Indragiri,Kec. Panawangan,Kab. Ciamis,Prov. Jawa Barat,46255,-7,108,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,31,16,15,2.0,2,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
021427,TK PGRI SUDIMARA,https://dapo.kemdikbud.go.id/sekolah/B483C05BEFC7A2D1527F,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/6ba81578-10aa-416c-a515-449f57bb55cd,11 Feb 2023 08:54:06,B,Kurikulum 2013,20262967,Swasta,TK,Yayasan,1,1980-07-01,421.1/185/Kpts/Disdikbud/2016,2016-01-14,Tidak ada,BPD JABAR BANTEN,KCP KAWALI,20262967 TK  PGRI SUDIMARA,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,450,Tidak Ada,DUSUN SUDIMARA,3 / 1,SUDIMARA,Panawangan,Kec. Panawangan,Kab. Ciamis,Prov. Jawa Barat,46255,-7,108,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,22,14,8,1.0,1,0.0,0,0.0,0,0.0,0,1.0,1,1.0,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
021427,TK PUSPAWINAYA,https://dapo.kemdikbud.go.id/sekolah/E5254BD9915019854F75,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/ef221a9e-ba6e-4935-9c6b-66455afc10df,10 Feb 2023 09:31:07,B,Kurikulum 2013,20263001,Swasta,TK,Yayasan,1,2002-07-01,421,2015-12-17,Tidak ada,BPD JABAR BANTEN,KCP KAWALI,20263001 TK  PUSPA WINAYA,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,450,Tidak Ada,Dusun dayeuhlandeuh,3 / 1,Dayeuhlandeuh,KERTAJAYA,Kec. Panawangan,Kab. Ciamis,Prov. Jawa Barat,46255,-7,108,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,13,4,9,2.0,2,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,2.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
021427,TK RANTAY KENCANA,https://dapo.kemdikbud.go.id/sekolah/794EFAB68FC956A882AB,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/b3ee99fc-878f-4a09-b910-14d81d4613df,14 Feb 2023 07:48:59,B,Kurikulum 2013,20263006,Swasta,TK,Yayasan,1,1986-11-17,421/ 188 -Kpts/Disdikbud/2016,2016-01-14,Tidak ada,BPD JABAR BANTEN,KCP KAWALI,20263006 TK  RANTAY KENCANA,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,450,Tidak Ada,JLN NAGARAPAGEUH,1 / 1,manis,Sagalaherang,Kec. Panawangan,Kab. Ciamis,Prov. Jawa Barat,46255,-7,108,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,25,13,12,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,2.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2.0,2,,,,,,,,,,,,,,,,,,
021427,TK RANTAY SARI,https://dapo.kemdikbud.go.id/sekolah/7C8DE5EA588B7211B134,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/ac5bd903-3425-4e83-b2f2-e5d9035ed598,18 Mar 2023 10:57:43,Tidak Terakreditasi,Kurikulum 2013,20263007,Swasta,TK,Yayasan,1,1997-12-15,421.1/ 133 -Kpts/Disdikbud/2016,2016-01-11,Tidak ada,BPD JABAR BANTEN,KCP KAWALI,20263007 TK RANTAY SARI,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,450,Telkomsel Flash,DESA SAGALAHERANG,2 / 5,Sagalaherang,Sagalaherang,Kec. Panawangan,Kab. Ciamis,Prov. Jawa Barat,46255,-7,108,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,12,7,5,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
021427,TK TRESNA BHAKTI,https://dapo.kemdikbud.go.id/sekolah/0125BE787E8AEBF20E2F,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/7e864e23-44c4-4f62-84b3-c40a4b73b4e5,20 Mar 2023 10:12:36,B,Kurikulum 2013,20263062,Swasta,TK,Yayasan,7,2007-07-01,421.1/137/KPTS/Disdikbud/2016,2016-01-11,Tidak ada,BPD JABAR BANTEN,KCP KAWALI,20263062 TK TRESNA BHAKTI,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,900,Telkomsel Flash,Jl.  Aria Salingsingan No. 73 Dusun Puhun,4 / 2,DUSUN PUHUN,Cinyasag,Kec. Panawangan,Kab. Ciamis,Prov. Jawa Barat,46255,-7,108,4,4,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,1,46,29,17,3.0,3,1.0,1,1.0,1,0.0,0,2.0,2,1.0,1,1.0,1,1.0,1,4.0,4,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
021427,ABABIL MANARUL HUDA,https://dapo.kemdikbud.go.id/sekolah/9DEC18850600AAA643F1,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/fc3afb4e-bd7a-4179-8b7e-d734ded89e9f,08 Feb 2023 10:34:00,C,Kurikulum 2013,69776568,Swasta,KB,Yayasan,,1900-01-01,421.9/398-DISDIK/2010,2010-02-18,Tidak ada,BPD JABAR BANTEN,KCP KAWALI,69776568 KB ABABIL MANARUL HUDA,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,450,Tidak Ada,DUSUN BOJONG 1 RT 07 RW 02,7 / 2,BOJONG I,Nagarajati,Kec. Panawangan,Kab. Ciamis,Prov. Jawa Barat,46255,-7,108,2,2,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,14,7,7,2.0,2,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,2.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
021427,BOUGENVILE,https://dapo.kemdikbud.go.id/sekolah/F541EFD3A1F57E448CDD,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/d93e6738-ddfd-4a15-a676-7b8fd959c893,14 Feb 2023 15:08:38,,Kurikulum 2013,69776548,Swasta,KB,Lainnya,,,421.9/459-DISDIK/2010,,Tidak ada,BPD JABAR BANTEN,KCP KAWALI,69776548 KB BOUGENVILE,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,450,Smartfren,DSN. BOJONGSARI,10 / 10,BOJONGSARI,Sadapaingan,Kec. Panawangan,Kab. Ciamis,Prov. Jawa Barat,46255,-7,108,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,35,18,17,2.0,2,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
021427,KB ABABIL AL BAROKAH,https://dapo.kemdikbud.go.id/sekolah/D0017FF949F08D43C1C7,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/b30c2bdc-e519-42e5-985a-f671681090f3,18 Mar 2023 19:18:54,,Kurikulum 2013,69866875,Swasta,KB,Yayasan,,,421.9/3329 Disdik 2009,,Tidak ada,BPD JABAR BANTEN,KCP KAWALI,69866875 KB ABABIL AL BAROKAH,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,9000,Telkom Astinet,CISAPI,8 / 3,CISAPI,NATANEGARA,Kec. Panawangan,Kab. Ciamis,Prov. Jawa Barat,46255,-7,108,2,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,24,13,11,3.0,3,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
021427,KB AL BARKAH,https://dapo.kemdikbud.go.id/sekolah/C14B20592DD819E23566,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/de82594e-6c55-4a44-8882-8882e72a38dd,25 Jan 2023 11:36:37,,Kurikulum 2013,69866945,Swasta,KB,Yayasan,1,2012-07-01,421.1/1251 Kpts/Disdikbud/2016,2016-06-15,Tidak ada,BPD JABAR BANTEN,KCP KAWALI,69866945 KB AL BARKAH,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,450,Tidak Ada,GARDU BLOK MUHARA RT 01 RW 01,1 / 1,GARDU,Gardujaya,Kec. Panawangan,Kab. Ciamis,Prov. Jawa Barat,46255,-7,108,2,3,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,22,14,8,3.0,3,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,2.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
021427,KB AL-HIKMAH,https://dapo.kemdikbud.go.id/sekolah/E2643EBF7637461B6011,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/17290e75-c160-479c-9671-5ffcae02a49c,18 Feb 2023 21:42:38,,Kurikulum 2013,69823906,Swasta,KB,Lainnya,,,421.9/420-DISDIK/2011,,Tidak ada,BPD JABAR BANTEN,KCP KAWALI,69823906 KB AL HIKMAH,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,900,Telkom Astinet,DUSUN CIHEULEUT,29 / 7,CIHEULEUT,NAGARAJAYA,Kec. Panawangan,Kab. Ciamis,Prov. Jawa Barat,46255,-7,108,2,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,1,19,8,11,2.0,2,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
021427,KB AL-IKHLAS,https://dapo.kemdikbud.go.id/sekolah/48C71A145656D363C4E1,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/29ab27e5-f6a6-402f-8fa5-ea5d0b062a52,23 Mar 2023 10:44:04,C,Kurikulum 2013,69866866,Swasta,KB,Lainnya,,,421.9/ /Disdikbud/2014,,Tidak ada,BPD JABAR BANTEN,KCP KAWALI,69866866 KB AL IKHLAS,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,900,Telkomsel Flash,DUSUN NAGARASUKA RT 03 RW 14,2 / 14,NAGARASUKA,SAGALAHERANG,Kec. Panawangan,Kab. Ciamis,Prov. Jawa Barat,46255,-7,108,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,1,30,15,15,2.0,2,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,1.0,1,0.0,0,1.0,1,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
021427,KB CAHAYA BINTANG,https://dapo.kemdikbud.go.id/sekolah/184F43A3E2285EDA82C4,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/cac3a8de-6830-437c-b3c3-0eb08081503e,13 Feb 2023 11:55:14,,Kurikulum 2013,69866856,Swasta,KB,Yayasan,,,421.9/3486,,Tidak ada,BPD JABAR BANTEN,KCP KAWALI,69866856 KB CAHAYA BINTANG,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,900,Telkom Astinet,DUSUN CALINGCING,18 / 9,CALINGCING,KARANGPANINGAL,Kec. Panawangan,Kab. Ciamis,Prov. Jawa Barat,46255,-7,108,2,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,1,23,10,13,2.0,2,0.0,0,2.0,2,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,2.0,2,2.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
021427,KB CEMPAKA LIMA,https://dapo.kemdikbud.go.id/sekolah/76E66A408E2BB4828F5F,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/3708ecf8-08fc-4c72-9c18-4e3b2b8867e3,29 Jan 2023 16:00:54,,Kurikulum 2013,69912657,Swasta,KB,Yayasan,421.9/SK23/YPSM-TB/VII/20,2014-07-01,421.9/1568-Disdikbud/2015,2015-05-06,Tidak ada,BPD JABAR BANTEN,KCP KAWALI,69912657 KB CEMPAKA LIMA,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,450,Telkomsel Flash,Dusun Cilimus Rt 03 rw 09,3 / 9,cilimus,Indragiri,Kec. Panawangan,Kab. Ciamis,Prov. Jawa Barat,46255,-7,108,2,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,27,16,11,2.0,2,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
